panid	groups	buyer_pos_p1	buyer_pre_p1	buyer_pos_p0	buyer_pre_p0
1	0	1	1	1	1
2	0	0	0	1	0
3	0	0	0	1	1
4	0	0	0	0	1
5	0	0	1	1	1
6	0	0	0	1	1
7	0	0	0	1	0
8	0	0	1	1	1
9	0	0	0	1	1
10	0	0	0	0	1
11	0	0	0	1	1
12	0	0	0	0	1
13	0	0	0	1	1
14	0	0	0	0	1
15	0	0	0	1	1
16	0	0	1	0	1
17	0	0	1	1	1
18	0	0	0	1	1
19	0	0	0	0	1
20	0	0	0	1	1
21	0	0	0	0	1
22	0	0	0	1	1
23	0	0	0	0	1
24	0	0	0	1	1
25	0	0	0	1	0
26	0	0	0	1	1
27	1	0	0	1	1
28	0	0	0	1	1
29	0	0	0	1	1
30	0	0	0	1	1
31	0	0	0	1	1
32	0	0	0	1	1
33	0	0	0	0	1
34	0	0	0	0	1
35	0	0	0	1	1
36	0	0	0	0	1
37	0	0	0	1	1
38	0	0	0	1	0
39	0	0	0	0	1
40	1	0	0	1	1
41	0	0	0	0	1
42	1	0	0	1	1
43	1	0	0	1	1
44	0	0	0	1	1
45	0	0	0	1	1
46	0	0	0	1	1
47	0	0	0	0	1
48	0	0	1	0	1
49	0	0	0	0	1
50	1	0	0	1	1
51	0	0	0	1	0
52	0	0	0	0	1
53	0	0	0	1	1
54	0	0	1	0	1
55	0	0	0	1	0
56	0	0	0	1	0
57	0	0	0	1	1
58	0	0	0	1	1
59	0	0	0	1	1
60	0	0	0	1	1
61	0	0	0	1	1
62	0	0	0	1	1
63	0	0	1	1	1
64	0	0	0	0	1
65	0	0	0	1	1
66	0	1	1	1	1
67	0	0	0	1	1
68	0	0	0	1	1
69	0	0	0	0	1
70	0	0	0	0	1
71	0	0	0	0	1
72	0	0	0	1	0
73	0	0	0	0	1
74	0	0	0	1	0
75	0	0	0	1	1
76	0	0	1	1	1
77	0	0	1	0	1
78	0	0	1	1	1
79	0	0	0	0	1
80	0	0	0	1	0
81	0	0	0	1	0
82	0	0	0	1	1
83	0	0	0	0	1
84	0	0	0	1	1
85	0	0	0	1	1
86	0	0	0	1	1
87	0	0	0	1	1
88	0	0	0	1	1
89	0	0	0	0	1
90	1	0	0	1	1
91	0	0	0	1	0
92	0	0	1	1	1
93	1	0	0	1	1
94	0	0	0	0	1
95	0	0	0	1	1
96	0	0	0	0	1
97	0	0	0	0	1
98	0	0	0	1	0
99	0	0	0	0	1
100	0	0	1	0	1
101	0	0	0	0	1
102	0	0	0	1	1
103	0	0	0	0	1
104	0	0	0	1	1
105	0	0	0	1	1
106	0	0	0	1	1
107	0	0	0	1	1
108	0	0	0	1	1
109	1	0	0	1	0
110	0	0	0	1	0
111	0	0	0	0	1
112	0	0	1	1	1
113	1	0	0	0	1
114	0	0	0	1	1
115	0	0	0	1	0
116	0	0	0	0	1
117	0	0	0	1	1
118	0	0	0	1	1
119	0	0	0	1	1
120	0	0	0	1	0
121	0	0	0	0	1
122	0	0	0	1	1
123	0	0	0	1	1
124	0	0	0	1	0
125	0	0	0	1	1
126	0	0	0	1	1
127	0	0	0	1	1
